best_for,communication_mode,decision_method,facilitated,governance_contribution,id,issue_interdependency,issue_polarization,issue_technical_complexity,kind_of_influence,method_of_interaction,original_language,post_date,public_interaction_method,published,typical_funding_source,typical_sponsoring_entity,updated_date
Addressing Identity-Based Issues,,Current pop-up art practices focus on community and social capital building rather than decision making.  Future practices in pop-up democracy could change this trend.,Yes,Agenda Formation,179,,,,Raise public awareness,,en,2010-12-03T10:38:38,Pop-up democracy is itself a model for public interaction.,Yes,,Academic Institution,2011-12-13T22:50:26
Providing Social Goods,or Deliberation,Typically Voting,Yes,Agenda Formation,180,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,Co-governance (i.e. to share decision making with public authorities),,en,2010-12-01T08:11:37,Public Hearings,Yes,,"Local Government (e.g. Village, Town, City)",2013-07-27T11:36:46
,,In Socratic Cafés,Yes,,181,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,"Develop individual capacities (e.g. skills, learning)",Democratic discussion--participant directed,en,2010-12-07T04:18:11,The main purpose of Socratic Cafés is not to broadcast decisions to the public,Yes,,Other,2016-08-29T21:56:04
Addressing Identity-Based Issues,Discussion,Voting,No,Agenda Formation,182,3 - Sometimes Interdependent on Other Issues,2 - Not Very Polarized,,Raise public awareness,,en,2010-12-07T08:20:19,Sessions for discussing issues,Yes,,National Government,2011-12-22T00:25:23
Providing Social Goods,Discussion,Expert Selection Process,Yes,Implementation,183,2 - Seldom Tied to Other Issues,1 - Not Polarized,,Raise public awareness,Internet,en,2010-12-07T12:32:14,Internet,Yes,,Other,2011-12-13T22:50:26
Providing Social Goods,,,Yes,Preference Articulation,184,4 - Often Interdependent with Other Issues,5 - Very Polarized,,"Develop individual capacities (e.g. skills, learning)",Talking Object,en,2010-12-07T13:17:09,Press Releases,Yes,,Individual,2011-12-13T22:50:26
,or Deliberation,Vote by Assembly,Yes,,185,,,,Raise public awareness,Open Debate,en,2010-06-08T09:04:02,,Yes,,"Local Government (e.g. Village, Town, City)",2011-12-22T00:35:51
Achieving Public Goods,,,Yes,,186,1 - Always Isolated and Usually Not tied to Other Issues,3 - Somewhat Polarized,,,,en,2010-12-07T17:23:54,,Yes,,Individual,2011-12-13T22:50:26
Achieving Public Goods,Express opinions/preferences only,Consensus and Executive Decision,No,Implementation,187,3 - Sometimes Interdependent on Other Issues,2 - Not Very Polarized,,Consultation (i.e. to advise decision makers),,en,2010-12-07T18:41:06,Criers,Yes,,National Government,2011-12-13T22:50:26
Achieving Public Goods,,list of solutions narrowed into several proposals during final large group discussion,Yes,Implementation,188,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,"Develop individual capacities (e.g. skills, learning)",small group discussion,en,2010-12-07T16:30:40,communication by word of mouth,Yes,,Academic Institution,2012-06-28T04:20:02
Providing Social Goods,,,Yes,Agenda Formation,189,3 - Sometimes Interdependent on Other Issues,1 - Not Polarized,,Raise public awareness,Events,en,2010-12-08T03:53:04,Each local government has their own website to spread the word locally,Yes,,"Regional Government (e.g. State, Provincial, Territorial)",2011-12-13T22:50:26
Achieving Public Goods,or Deliberation,most cases unanimous decision by voting,Yes,Implementation,190,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Make public decisions (i.e. exert direct authority),,en,2010-12-08T04:00:17,,Yes,,"Regional Government (e.g. State, Provincial, Territorial)",2011-12-13T22:50:26
Providing Social Goods,or Deliberation,,No,,191,,,,Make public decisions (i.e. exert direct authority),,en,2010-12-08T21:06:24,,Yes,,,2012-06-09T05:47:46
Achieving Public Goods,,,No,,192,,,,Make public decisions (i.e. exert direct authority),,en,2010-12-26T04:07:51,,Yes,,,2011-12-13T22:50:26
,,voting,No,,194,,,,Make public decisions (i.e. exert direct authority),,en,2011-05-22T19:37:39,,Yes,,,2011-12-14T00:14:26
Distributing Individual Material Goods,,internet voting ,Yes,,195,2 - Seldom Tied to Other Issues,3 - Somewhat Polarized,,Make public decisions (i.e. exert direct authority),,en,2011-07-01T17:05:51,internet discussions,Yes,,,2011-12-14T00:15:26
,,,No,,196,,,,,,en,2010-09-28T16:30:12,,Yes,,,2011-12-21T23:19:55
Addressing Identity-Based Issues,,,Yes,Implementation,197,5 - Always Tied to Other Issues,1 - Not Polarized,,Raise public awareness,Direct  or through communities of practices,en,2011-07-31T21:13:34,,Yes,,Individual,2011-12-13T22:50:26
,,,,,198,,,,,,de,2011-11-11T21:38:05,,Yes,,,2012-11-02T14:46:57
,,,No,,387,,,,,,en,2011-11-30T17:20:28,,Yes,,,2011-12-01T19:31:01
,,,No,,399,,,,,,en,2011-12-02T22:42:45,,Yes,,,2012-01-26T00:36:50
,,,No,,428,,,,,,en,2011-12-20T22:09:51,,Yes,,,2011-12-20T22:09:51
,,,No,,441,,,,,,en,2011-12-24T01:17:25,,Yes,,,2011-12-24T01:17:25
,Discussion,ranking,Yes,Implementation,448,3 - Sometimes Interdependent on Other Issues,,4 - Quite Complex,Community building (e.g. social capital),,en,2011-12-27T00:14:51,,Yes,"Regional Government (e.g. State, Provincial, Territorial)",National Government,2011-12-27T05:12:20
,,,No,,457,,,,,,en,2011-12-30T19:17:38,,Yes,,,2011-12-30T19:17:38
,,,No,,459,,,,,,en,2011-12-30T19:22:09,,Yes,,,2011-12-30T19:22:09
,,,No,,474,,,,,,en,2012-01-10T07:33:02,,Yes,,,2012-01-10T07:33:02
,,,No,,484,,,,,,en,2012-01-11T10:50:44,,Yes,,,2012-01-14T10:22:01
,,,No,,514,,,,,,en,2012-01-28T14:05:53,,Yes,,,2012-01-28T14:05:53
,or Deliberation,Consensus,Yes,,518,,,,Direct delivery of public services (i.e. by entities other than government),,en,2012-01-31T20:02:54,,Yes,,,2015-06-29T18:29:14
,Negotiate &amp; Bargain,,No,Conflict Resolution,520,,,,Co-governance (i.e. to share decision making with public authorities),,en,2012-02-09T17:34:37,,Yes,Union,National Government,2012-03-01T19:02:04
Achieving Public Goods,Discussion,reading and commenting,No,Decision-Making,521,4 - Often Interdependent with Other Issues,4 - Polarized,4 - Quite Complex,Consultation (i.e. to advise decision makers),voting,en,2012-02-13T01:04:53,media notices,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2012-02-13T05:25:24
,,,No,,1278,,,,,,en,2013-09-07T21:14:50,,Yes,,,2013-09-07T21:14:50
Providing Social Goods,Acting/Drama,Consensus,Yes,Decision-Making,529,5 - Always Tied to Other Issues,3 - Somewhat Polarized,3 - Somewhat Complex,Community building (e.g. social capital),Plenary and group sessions,en,2012-02-27T03:22:00,Workshop facilitators or experts report to media outlets and decision-makers.,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2012-11-10T22:53:32
Achieving Public Goods,Dialogue,Voting,No,,530,3 - Sometimes Interdependent on Other Issues,1 - Not Polarized,1 - Very Simple,"Develop individual capacities (e.g. skills, learning)",,en,2012-02-27T07:59:20,,Yes,,International Organization,2012-03-01T19:40:42
,Dialogue,Made by the FWS or NMFS after critical review of an HCP,Yes,Decision-Making,538,4 - Often Interdependent with Other Issues,,,Consultation (i.e. to advise decision makers),,en,2012-03-01T03:36:58,A public notice must be issued by FWS or NMFS in the Federal Register,Yes,National Government,Government-Owned Corporation,2012-03-01T18:06:22
Achieving Public Goods,Dialogue,User decisions are made through a stance slider tool,No,Decision-Making,540,4 - Often Interdependent with Other Issues,4 - Polarized,4 - Quite Complex,Community building (e.g. social capital),Pro and Con lists,en,2012-03-01T04:01:29,Users pro and con lists are posted,Yes,National Government,Academic Institution,2012-03-01T18:05:05
Providing Social Goods,or Deliberation,The decision was made through  public deliberation ,Yes,Agenda Formation,543,5 - Always Tied to Other Issues,3 - Somewhat Polarized,3 - Somewhat Complex,Consultation (i.e. to advise decision makers),Public deliberation,en,2012-03-01T07:40:54,Most of the consensus conference was open to the media and the public,Yes,National Government,National Government,2016-03-16T15:50:51
,Organized Demonstrations,Leaderless Consensus,No,,547,5 - Always Tied to Other Issues,4 - Polarized,5 - Highly Complex,Protest,Social Media: Facebook; Twitter,en,2012-03-01T19:28:22,Social Networking,Yes,Community Based Organization,Not Applicable,2012-03-01T19:34:17
,,,No,,559,,,,,,en,2012-04-11T17:04:33,,Yes,,,2012-04-11T17:04:33
Providing Social Goods,or Deliberation,consensus,No,,560,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,4 - Quite Complex,Community building (e.g. social capital),,en,2012-04-11T17:20:53,,Yes,Individual,Faith-Based Organization,2016-07-17T13:11:14
,,,No,,565,,,,,,en,2012-04-11T18:02:46,,Yes,,,2012-04-11T18:04:41
,,,No,,566,,,,,,en,2012-04-11T18:05:58,,Yes,,,2012-04-11T18:05:58
,,,No,,580,,,,,,en,2012-04-30T02:16:11,,Yes,,,2012-04-30T02:16:11
,,,Yes,Decision-Making,592,4 - Often Interdependent with Other Issues,5 - Very Polarized,4 - Quite Complex,,,en,2012-05-29T20:11:35,,Yes,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),"Regional Government (e.g. State, Provincial, Territorial)",2015-11-09T17:13:25
Achieving Public Goods,Dialogue,Surveys,Yes,Preference Articulation,598,5 - Always Tied to Other Issues,5 - Very Polarized,5 - Highly Complex,Other,Face-to-face dialogue,en,2012-06-12T01:40:18,Published reports,Yes,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),"Regional Government (e.g. State, Provincial, Territorial)",2012-07-11T06:21:44
Achieving Public Goods,Informal Social Activities,,No,,622,,,,,,en,2012-07-06T19:13:02,,Yes,,,2016-08-22T15:45:38
,,,No,,629,,,,,,en,2012-07-13T07:03:40,,Yes,,,2012-07-13T07:03:40
,,,No,,626,,,,,,en,2012-07-13T06:56:24,,Yes,,,2012-07-13T06:56:24
,,,No,,627,,,,,,en,2012-07-13T06:58:15,,Yes,,,2012-07-13T06:58:15
,,,No,,628,,,,,,en,2012-07-13T06:58:52,,Yes,,,2012-07-13T06:58:52
Achieving Public Goods,Discussion,Surveys,Yes,,631,,,,Consultation (i.e. to advise decision makers),Face-to-face dialogue,en,2012-07-14T06:25:08,Published reports,Yes,,,2016-08-22T15:08:12
Providing Social Goods,or Deliberation,Voting (Supermajoritarian),Yes,Decision-Making,635,4 - Often Interdependent with Other Issues,4 - Polarized,4 - Quite Complex,Consultation (i.e. to advise decision makers),Face-to-face dialogue,en,2012-07-19T04:35:52,Published reports,Yes,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2012-07-21T06:07:13
,,,No,,639,,,,,,en,2012-07-31T06:39:30,,Yes,,"Local Government (e.g. Village, Town, City)",2012-08-16T15:08:34
,,,No,,650,,,,,,en,2012-09-28T15:27:12,,Yes,,,2012-09-28T15:27:57
,,,No,,688,,,,,,en,2012-11-10T22:28:47,,Yes,,,2012-11-10T22:30:13
Achieving Public Goods,or Deliberation,Made through consensus,Yes,Decision-Making,727,2 - Seldom Tied to Other Issues,3 - Somewhat Polarized,3 - Somewhat Complex,Co-governance (i.e. to share decision making with public authorities),,en,2012-11-28T15:56:03,1. Attending the announcement of reccomendations at the end of the event 2. Reading or viewing the media&#039;s coverage of the event,Yes,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2012-12-08T21:25:18
Achieving Public Goods,or Deliberation,summary of comments in a report,Yes,Preference Articulation,733,2 - Seldom Tied to Other Issues,2 - Not Very Polarized,3 - Somewhat Complex,Consultation (i.e. to advise decision makers),leaving comments,en,2012-12-03T23:40:27,,Yes,"Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-07-18T19:57:55
Achieving Public Goods,Dialogue,polling to show consent and collect paramount objections.,Yes,Co-Production,775,5 - Always Tied to Other Issues,4 - Polarized,4 - Quite Complex,"Develop individual capacities (e.g. skills, learning)",Online,en,2013-02-05T01:37:54,Public events are publicized via social media and traditional media.,Yes,For Profit Business,International Organization,2015-06-19T13:44:25
,,,No,,736,,,,,,en,2012-12-05T18:56:18,,Yes,,,2012-12-10T16:08:52
,,,No,,794,,,,,,en,2013-03-07T14:49:01,,Yes,,,2013-03-07T14:49:01
,,,No,,799,,,,,,en,2013-03-14T18:56:03,,Yes,,,2013-03-14T18:56:03
Achieving Public Goods,Express opinions/preferences only,,No,Public Marketing,1550,,,,"Develop individual capacities (e.g. skills, learning)",,en,2013-11-25T02:15:52,Online,Yes,International Organization,International Organization,2014-03-18T15:37:30
,,,No,,985,,,,,,en,2013-05-30T18:25:07,,Yes,,,2013-05-30T18:25:07
,,,No,,1154,,,,,,fr,2013-07-11T19:25:51,,Yes,,,2014-04-14T10:55:14
,Story-Telling,,No,,855,,,,Make public decisions (i.e. exert direct authority),,en,2013-04-12T19:04:51,,Yes,,,2013-04-12T19:08:50
Achieving Public Goods,Dialogue,voting,No,Decision-Making,1257,3 - Sometimes Interdependent on Other Issues,,3 - Somewhat Complex,Co-governance (i.e. to share decision making with public authorities),online based - many to many web based interactions,it,2013-08-26T10:07:50,,Yes,National Government,Non-Governmental Organization (Non-profit),2014-01-22T11:52:36
,,,No,,1692,,,,,,en,2013-12-31T03:14:58,,Yes,,,2014-01-01T02:39:11
Achieving Public Goods,Discussion,,Yes,Conflict Resolution,1587,2 - Seldom Tied to Other Issues,2 - Not Very Polarized,3 - Somewhat Complex,Consultation (i.e. to advise decision makers),,en,2013-12-03T01:56:04,,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2013-12-03T01:56:04
Achieving Public Goods,or Deliberation,,No,Agenda Formation,1588,3 - Sometimes Interdependent on Other Issues,1 - Not Polarized,2 - Not Very Complex,Consultation (i.e. to advise decision makers),,en,2013-12-03T01:59:57,,Yes,"Local Government (e.g. Village, Town, City)",Community Based Organization,2013-12-03T01:59:57
Achieving Public Goods,or Deliberation,,No,,2840,,,,Consultation (i.e. to advise decision makers),,en,2014-05-02T18:20:50,,Yes,,,2014-05-02T18:20:50
Providing Social Goods,No interaction among participants,Forum voting proportions are used to influence decisions by elected representatives.,No,Decision-Making,3431,3 - Sometimes Interdependent on Other Issues,5 - Very Polarized,3 - Somewhat Complex,Co-governance (i.e. to share decision making with public authorities),text,en,2014-05-31T10:27:47,All forum members are invited to participate,Yes,Individual,Individual,2014-06-28T06:18:25
Achieving Public Goods,or Deliberation,Voting on discussion board,No,Decision-Making,4241,5 - Always Tied to Other Issues,5 - Very Polarized,5 - Highly Complex,Co-governance (i.e. to share decision making with public authorities),,en,2015-06-10T17:45:57,Connection through social networks,Yes,Individual,Individual,2016-07-31T02:38:49
,,,No,,4232,,,,,,en,2015-05-25T19:35:09,,Yes,,,2015-05-25T19:35:09
,,,No,,4146,,,,,,en,2014-11-05T10:55:27,,Yes,,,2014-11-05T10:56:37
,Discussion,Consent governs policy decisions in a sociocratic organization.,Yes,Agenda Formation,4149,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,4 - Quite Complex,Other,,en,2014-11-26T20:56:13,,Yes,,,2014-11-26T22:11:31
,,,Yes,,4150,,,,,Another name for sociocracy - see method Sociocracy for information,en,2014-11-26T20:58:32,,Yes,,,2014-11-26T22:05:23
Distributing Individual Material Goods,Listen/watch as spectator,,No,Agenda Formation,4317,,,,Consultation (i.e. to advise decision makers),,en,2016-02-08T04:53:11,,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-02-08T04:53:11
Providing Social Goods,Discussion,Voting with ad hoc decision rule and legitimacy,No,,4206,5 - Always Tied to Other Issues,3 - Somewhat Polarized,5 - Highly Complex,Direct delivery of public services (i.e. by entities other than government),moderator&#039;s announcements,en,2015-04-29T15:40:58,official website,Yes,Individual,Community Based Organization,2016-07-31T13:58:15
,,,No,,4175,,,,,,en,2015-01-01T11:30:57,,Yes,,,2015-03-01T18:54:38
,or Deliberation,,Yes,,4258,,,,Consultation (i.e. to advise decision makers),,en,2015-07-02T16:32:02,,Yes,,,2015-07-02T16:54:12
,,,No,,4286,,,,,,en,2015-12-08T09:36:20,,Yes,,,2015-12-10T18:58:49
Achieving Public Goods,Dialogue,Voting,No,Preference Articulation,4307,,,,Co-governance (i.e. to share decision making with public authorities),,en,2016-02-03T16:33:04,,Yes,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-02-03T16:33:04
Providing Social Goods,Dialogue,,No,,4298,,,,"Develop individual capacities (e.g. skills, learning)",,en,2016-01-30T17:17:44,Information Sessions,Yes,,,2016-01-30T17:17:44
,Dialogue,Voting,No,Conflict Resolution,4299,3 - Sometimes Interdependent on Other Issues,4 - Polarized,3 - Somewhat Complex,Other,Deliberation,en,2016-01-31T16:16:27,,Yes,,National Government,2016-02-25T13:17:07
Achieving Public Goods,Listen/watch as spectator,,No,Conflict Resolution,4304,,,,Raise public awareness,,en,2016-02-02T16:19:24,,Yes,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-02-02T16:19:24
Addressing Identity-Based Issues,Discussion,,No,Preference Articulation,4305,,,,Collaborative delivery of services with public authorities,,en,2016-02-02T17:09:07,,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-02-02T17:09:07
Achieving Public Goods,Express opinions/preferences only,Voting,No,Preference Articulation,4313,,,,Co-governance (i.e. to share decision making with public authorities),,en,2016-02-04T17:02:28,,Yes,,"Regional Government (e.g. State, Provincial, Territorial)",2016-08-24T11:03:56
Achieving Public Goods,or Deliberation,Vote,No,Preference Articulation,4314,,,,Consultation (i.e. to advise decision makers),,en,2016-02-04T17:15:18,,Yes,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-02-04T17:15:18
Achieving Public Goods,Dialogue,,Yes,Preference Articulation,4319,,,,Collaborative delivery of services with public authorities,,en,2016-02-12T04:42:38,,Yes,"Regional Government (e.g. State, Provincial, Territorial)",National Government,2016-05-24T19:48:02
Achieving Public Goods,or Deliberation,,No,Agenda Formation,4322,,,,Raise public awareness,,en,2016-02-13T17:11:04,,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-02-13T17:11:04
Providing Social Goods,Discussion,,No,,4324,,,,Community building (e.g. social capital),,en,2016-02-17T03:00:38,,Yes,Individual,Academic Institution,2016-02-17T03:00:38
Distributing Individual Material Goods,Express opinions/preferences only,Opinion Survey,No,Preference Articulation,4327,,,,Consultation (i.e. to advise decision makers),Online Voting,en,2016-02-29T02:45:59,Online ,Yes,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",2016-08-02T12:52:41
Achieving Public Goods,Express opinions/preferences only,Voting,No,Preference Articulation,4328,,,,Consultation (i.e. to advise decision makers),Online,en,2016-02-29T16:39:08,Internet,Yes,"Local Government (e.g. Village, Town, City)",International Organization,2016-02-29T16:39:08
Distributing Individual Material Goods,or Deliberation,,No,Implementation,4343,,,,Consultation (i.e. to advise decision makers),,en,2016-04-14T21:23:38,Neighbourhood Assemblies,Yes,"Local Government (e.g. Village, Town, City)",Community Based Organization,2016-04-15T15:26:40
