body,language,organization_id,title
<p></p><h2>I. Purpose and Mission of the,en,267,Annenberg Institute for School Reform
"<a name=""Mission_and_Purpose"" id=""Missio",en,268,Democratic Underground
<p>The Annenberg Institute for School Re,en,269,The Annenberg Institute for School Reform
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,270,In Control
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,271,Involving People
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,272,Local Government Centre
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,273,Infed
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,274,Sciencewise
"<p>The <a class=""external text"" href=""ht",en,275,Scottish Community Development Centre
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,276,Tenant Participation Advisory Service Cymru
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,277,Participation Workers’ Network for Wales
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,278,Participation Unit at Save the Children Wales
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,279,Funky Dragon
<p><strong>Mission and Purpose</strong><,en,280,Centre for Public Involvement
<p>ADELS (Association pour la démocratie,en,281,ADELS
Paris's Local Democracy Observatory was ,en,282,Observatoire Parisien de la Démocratie Locale
<p>The Committee on Social Inclusion and,en,283,Committee on Social Inclusion and Participative Democracy
<p>De Wakkere Burger is a movement for a,en,284,De Wakkere Burger
"<p><a class=""external text"" href=""http:/",en,285,Democratie nu
"<p><a class=""external text"" href=""http:/",en,286,Citizens for Direct Democracy
"<p><a class=""external text"" href=""http:/",en,287,Democracy International
"<p>The <a class=""external text"" href=""ht",en,288,Initiative and Referendum Institute Europe IRI
<p> </p><p><em>Note: Another version of ,en,289,Demoex
"<h2>Contents</h2><ul><li class=""toclevel",en,290,Omnibus for Direct Democracy
"<p><a class=""external text"" href=""http:/",en,291,Mehr Demokratie
"<p><a class=""external text"" href=""http:/",en,292,Citizens’ Initiative and Referendum
"<p><a class=""external text"" href=""http:/",en,293,Demoex UK
"<p>The <a class=""external text"" href=""ht",en,294,Referendum Platform
<p>Centre for Research on Direct Democra,en,295,Centre for Research on Direct Democracy (c2d)
"<p><a class=""external text"" href=""http:/",en,296,Z Communications
"<p><a class=""external text"" href=""http:/",en,297,Balkan Assist
"<p><a id=""Purpose_and_Problem"" name=""Pur",en,298,Initiative and Referendum Institute – Asia
"<ul><li class=""toclevel-1""><a href=""#You",en,299,Senator Online
<h2>The Evolution of Democracy</h2><p><a,en,300,Eudemocracia
"<p><a id=""Austria_direct_democratising_-",en,301,Mehr Demokratie (Austria)
The Freechild Project is a consulting pr,en,302,The Freechild Project
"<a href=""http://www.democraciaweb.org/"" ",en,303,Democràcia Electrònica
<p>Continuous Democracy</p><p>We promote,en,304,Telematics Freedom Foundation
"<p>Qué es el <a href=""http://www.partido",en,305,Partido de Internet
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,306,Interactivity Foundation
"<p><a id=""Purpose_and_Mission"" name=""Pur",en,307,White House Office of Public Engagement
<h3>Mission and Purpose</h3><p>The Dudle,en,308,Dudley Street Neighborhood Initiative
"<a name=""Mission_and_Purpose"" id=""Missio",en,309,GOV2U
"<a name=""Mission_and_Purpose"" id=""Missio",en,310,Citizens' Council
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,311,International Budget Partnership
"<p>Chicago Local School Councils <a id=""",en,312,Chicago Public Schools: Local School Councils
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,313,Kettering Foundation
<h3>Purpose and Mission</h3><p>oD Russia,en,314,OD Russia
<p>Farmer Groups of Kenya is a strategy ,en,315,Farmer Groups of Kenya
"<p>DEMO-net, short for The Democracy net",en,316,Demo-net
"<p>""We are a network. Our members share ",en,317,The Democracy Imperative
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,318,The Center for Deliberative Democracy
"<a name=""Mission_and_Purpose"" id=""Missio",en,319,Centre for Citizens' participation in the African Union (CCP-AU)
"<a name=""Mission_and_Purpose"" id=""Missio",en,320,Alliance For Education
<p>DENIVA (Development Network of Indige,en,321,Development Network of Indigenous Voluntary Associations (DENIVA)
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,322,Canadian Community for Dialogue and Deliberation
"<p>TED (Technology, Entertainment, Desig",en,323,TED
"<p><a id=""Mission"" name=""Mission""></a></",en,324,The Harwood Institute For Public Innovation
"<p><a id=""Summary"" name=""Summary""></a></",en,325,International Civil Society Consortium
"<p><a id=""Overview"" name=""Overview""></a>",en,326,Sustained Dialogue Institute 
"<h2>Overview</h2><p>SDCN, Sustained Dial",en,327,Sustained Dialogue Campus Network
<p>CIVICUS: World Alliance for Citizen P,en,328,CIVICUS: World Alliance for Citizen Participation
<p>The Institute for Civil Discourse and,en,329,The Institute for Civic Discourse & Democracy
<p>The League of Women Voters is a nonpa,en,330,The League of Women Voters
<p>Overview</p><p>South Africa’s revolut,en,331,Bush Radio
INITIATIV FIR DEMOKRATIE-ERWEIDERUNG a.s,en,332,Demokratie
"<p><a class=""external text"" href=""http:/",en,333,Aktiv Demokrati
"<p><a href=""http://www.partizipation.at/",en,334,Participation and sustainable development in Europe
"<p>Welcome to <a class=""external text"" h",en,335,E-Democracy.org
"<p><a class=""external text"" href=""http:/",en,336,"APSA Task Force on Democracy, Economic Security, and Social Justice"
The National Initiative for Democracy <a,en,337,National Initiative for Democracy
"<p>Welcome to the <a class=""external tex",en,338,Miller-Rose Institute Initiative Database
"<p><a class=""external text"" href=""http:/",en,339,Citizens in Charge
"<p><a class=""external text"" href=""http:/",en,340,Ballot Initiative Strategy Center
"<p><a class=""external text"" href=""http:/",en,341,The People Decide
"The party of <a href=""http://en.wikipedi",en,342,Internetes DEmokrácia pártja
"<h2><a id=""Change_2011_movement"" name=""C",en,343,Förändring 2011
"<p><a class=""external text"" href=""http:/",en,344,Direct Democracy Ireland
<p>Who is the European Civic Education F,en,345,European Civic Education Foundation
<p>neu&amp;kühn is a companion and devel,en,346,Neu&kühn
"<p><a class=""external text"" href=""http:/",en,347,Open Government
"<p><a class=""external text"" href=""http:/",en,348,Agir pour la démocratie directe
"<a href=""http://www.unitedminds.ie/"" cla",en,349,United Minds
"<p><a class=""external text"" href=""http:/",en,350,Citizens
"<a name=""Who_we_are.E2.80.A6"" id=""Who_we",en,351,Artworks Creative Communities
EUROPEAN CITIZEN ACTION SERVICE <a href=,en,352,EUROPEAN CITIZEN ACTION SERVICE (ECAS)
"<a name=""INTERNATIONAL_IDEA"" id=""INTERNA",en,353,International Institute for Democracy and Electoral Assistance
"<p><a class=""external text"" href=""http:/",en,354,Pan-European e-Participation Network (PEP-NET)
"Since 1879, the seven-member Presidentia",en,355,Mississippi River Commission
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,356,Institut de la Concertation
"<p><a href=""http://www.dimopolis.gr/"">ht",en,357,Dimopolis
"<p>About <a class=""external text"" href=""",en,358,Newid
<p>3. The objects for which the Company ,en,359,Democratise
<p>Here in Slovenia we are also trying t,en,360,Svojpolitik.si
"<p>Comédie (Concertation, mediation, env",en,361,Comedie
"<h2>Contents</h2> <ul><li class=""tocleve",en,362,Online Party of Canada
<p><b>E2D International</b> (E2D) is the,en,363,E2D International
<p>ABSTRACT</p><p>The workshop for Commu,en,364,TAC CORDILLERA : TALLER DE ACCIÓN COMUNITARIA
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,365,"GIS Participation du Public, Décision, Démocratie Participative"
<p>1. Mission and Purpose Décider ensemb,en,366,Décider ensemble
<p>QUE ES MESA DE LA RIA</p><p>Somos un ,en,367,Plataforma Mesa de la Ría
"<p><a id=""Introduction"" name=""Introducti",en,368,UVic Constitutional Law Class 2011/2012
"<p><a id=""Web_Site_and_Contact_Informati",en,369,International Organization of Citizens for the Sustainable Management of Societies
<p>איידמוס היא שיטה. </p><p>שיטה שאנו מצ,en,370,IDemos
<p>Stichting Lodewijk de Raet versterkt ,en,371,Stichting Lodewijk de Raet
<p>The newdemocracy Foundation is an ind,en,372,The newdemocracy Foundation
<p>Debategraph is: </p><p>(1) A debate v,en,373,Debategraph.org
<p>Imagine companies without managers or,en,374,BetterMeans.org
<h3>Mission and Purpose</h3><p> </p><h3>,en,429,Conetica
<h3>Mission and Purpose:</h3><p>The Oreg,en,657,Oregon's Kitchen Table 
<h3>Mission and Purpose</h3><p>IAP2 USA ,en,427,IAP2 USA
<h3> </h3><p>New York Faith and Justice ,en,421,New York Faith & Justice
<h3>Mission and Purpose</h3><p>The Colbe,en,436,Colbert Super PAC
<h3>Mission and Purpose</h3><p> </p><h3>,en,437,The Center for Deliberative Democracy at Stanford University
<h3>Mission and Purpose</h3><p> </p><h3>,en,442,Democratici Diretti
<h3>Mission and Purpose</h3><p> </p>Wiki,en,447,Wikivote
<h3>Mission and Purpose</h3><p>To develo,en,453,"Course of Society, Development and Citizenship Studies - Tecnológico de Monterrey"
<h3>Mission and Purpose</h3><p>Formar lí,en,455,Propuestas por México - Proméxico
,en,458,Community-Campus Partnerships for Health
<em>Note:  This article is a stub and th,en,575,City of Pittsburgh
<h3>Mission and Purpose</h3><p>To 'bring,en,472,Royal Institution of Australia (RiAus)
<h3> </h3><p> </p>,en,476,Auckland Council
"<h3>About PlaceSpeak</h3><a href=""https:",en,479,PlaceSpeak
<h3>Mission and Purpose</h3><p> The CPD ,en,488,Colorado State University Center for Public Deliberation
<h3>Mission and Purpose</h3><p>The Cente,en,490,Center for Engaged Democracy
<h3>Mission and Purpose</h3><p> </p><p> ,en,493,Australian Study Circles Network 
<p><em>Note:  This article is a stub and,en,574,Municipality of Utrecht
<h3>Mission and Purpose</h3><p>The Insti,en,516,Institute for 21st Century Agoras
<h3>Statement of Unity</h3><p>We humbly ,en,517,Occupy Vancouver
<p> </p><p><em><strong>Submitted:</stron,en,522,Occupy Seattle 
<p>The Coalition is a nonprofit organiza,en,523,New Jersey Coalition for the Public Good
<h3>Mission and Purpose</h3><p> </p><h3>,en,527,Citizens in Chargee
<p>The Digital Activism Research Project,en,532,The Digital Activism Research Project
<h3> </h3><p><strong>Definition</strong>,en,535,Direct Democracy Not Parliamentary Rule
<p><strong>Anonymous</strong> is a decen,en,536,Anonymous
<h2><strong>Mission and Purpose</strong>,en,537,Shoreline Master Program Update (Kitsap County)
"<h3>Definition</h3><p><a href=""http://cc",en,539,Center for Communication and Civic Engagement
<h3>Mission and Purpose</h3>The Backbone,en,544,Backbone Campaign
<p>The plan of this four-year research p,en,555,Citizen's Voice: Analysis of the prospects of deliberative democracy in Finnish health care
"<p>Stub</p><p><a href=""http://www.dec.ny",en,561,New York Department of Environmental Conservation
<h3>Mission and Purpose</h3><p> </p><h3>,en,562,City of Philadelphia
<h3>Mission and Purpose</h3><p> </p><h3>,en,563,Washington County Long Range Planning Division
<p>Stub</p>,en,564,Washington County - Citizen Participation Organization
<p>Stub</p>,en,567,Hawaii Department of Transportation
<p><em>Note:  This article is a stub and,en,569,Region of Tuscany
<em>Note:  This article is a stub and th,en,576,Shaping America's Youth (SAY)
<em>Note:  This article is a stub and th,en,578,Poitou-Charentes' Regional Council
<em>Note:  This article is a stub and th,en,581,U.S. Environmental Protection Agency (EPA)
<em>Note:  This article is a stub and th,en,582,"Kentucky Center for Public Issues (Kentucky, USA)"
<em>Note:  This article is a stub and th,en,583,New York State Department of Environmental Conservation
<em>Note:  This article is a stub and th,en,584,U.S. Department of Energy
Mission and Purpose<p>The guiding concep,en,585,Center for Nanotechnology in Society at Arizona State University (CNS-ASU)
<h3>Mission and Purpose</h3><p>The goal ,en,605,GovTogetherBC
<h3>Mission and Purpose</h3><p> </p><h3>,en,594,Penn Project for Civic Engagement
<h3>Mission and Purpose</h3><p>Community,en,599,Community Places
<h3>Mission and Purpose</h3><p>Viewpoint,en,602,Viewpoint Learning
<h3>Mission and Purpose</h3><p> </p><h3>,en,603,Black Rock City LLC
<h3>Mission and Purpose</h3><p>(We stron,en,608,The Freerz Community
,en,620,Urban Planning Aid
,en,621,Greater Boston Committee
<h3>Mission and Purpose</h3><p><em>A sup,en,624,Collective Agency
<h3>Mission and Purpose</h3><p> </p><h3>,en,632,Canadian Policy Research Networks (CPRN)
<h3>Mission and Purpose</h3><p> </p><h3>,en,637,Ascentum
<h3>Mission and Purpose</h3><h4><strong>,en,638,NH Listens
<h3>Mission and Purpose</h3><p>The Assoc,en,640,Association for Societal Participation
<h3><em>Note:  This article is a stub an,en,641,Seoul National University
<h3> </h3><h3><em>Note:  This article is,en,646,Sadhana
<p> </p><p>Zebralog is a leading agency ,en,648,Zebralog - Experts in eParticipation
<h3>Mission and Purpose</h3><p> </p><h3>,en,651,Linnalabor / Estonian Urban Lab
<h3>Mission and Purpose</h3><p>The <a hr,en,653,California Citizens Redistricting Commission
<p>Open North creates websites to promot,en,654,Open North
<h3>Mission and Purpose</h3><p>     The ,en,656,Pirate Parties
<p>In recent decades the Portuguese citi,en,778,+D = Democracia em Movimento (Portugal)
<h3>Mission and Purpose</h3><p>To create,en,779,Intellitics
<h3>Mission and Purpose</h3><p>To promot,en,678,The de Borda Institute
<h3>Mission and Purpose</h3><p>         ,en,691,"Citizens For Democracy, Pakistan"
<h3> </h3><h2>Mission and Purpose</h2><p,en,694,DemocracyLab
<h3>Definition</h3><p>Americans Elect is,en,698,Americans Elect
<p>Shamshir Kaur<br /> The Hampton Roads,en,699,Hampton Roads For Civic Engagement
<h3><strong>Mission and Purpose</strong>,en,700,David Mathews Center for Civic Life
<h3>Mission and Purpose</h3><p>The <a hr,en,703,California Citizen's Redistricting Commission
<h3>Mission and Purpose</h3><p>The Pirat,en,704,Pirate Parties Across the World
<h3>Mission and Purpose</h3><p>People of,en,706,The Greenlining Institute
"<h3>Needs translation</h3><h3><a href=""h",en,771,Occupy Vancouver
<h3>Definition</h3><p>The Center for Vot,en,708,The Center for Voter Deliberation of Northern Virginia 
<p> </p><p><em>Note: Another version of ,en,709,World Wide Views on Global Warming overview and analysis 
<h3>Mission and Purpose</h3><p>Mission S,en,711,The American Democracy Project
<p> </p><p><strong>Description</strong><,en,712,The Center for Ethical Leadership 
<h3>Problems and Purpose</h3><p>The stat,en,713,Davenport Institute for Public Engagement and Civic Leadership - Pepperdine University
<p> </p><h3>Mission and Purpose</h3><p>J,en,780,Jefferson Action
<h3>Misson</h3><p>Tasmania Together is a,en,717,Tasmania Together
<h3><u>Mission and Purpose</u></h3><p>  ,en,719,Oregon's Kitchen Table
<h3>Schwerpunkte und Aktivitäten</h3><p>,en,776,wer denkt was GmbH
<h3>Mission and Purpose</h3><p> </p><h3>,en,788,Civic Alliance to Rebuild Downtown New York
<h3>Mission and Purpose</h3><p> </p><h3>,en,740,"Cité des Sciences et de l´Industrie, Paris, France"
<h3>Mission and Purpose</h3><p> </p><h3>,en,783,Chicago Police Department
<h3>Mission and Purpose</h3><p> </p><h3>,en,784,Association Italia 150
<h3>Mission and Purpose</h3><p> </p><h3>,en,782,Age Sector Platform
<h3>Mission and Purpose</h3><p> </p><h3>,en,786,Municipality of Florence
<h3>Mission and Purpose</h3><p> </p><h3>,en,756,Bertelsmann Stiftung
<h3>Mission and Purpose</h3><p>The found,en,757,Heinz Nixdorf Stiftung
<h3>Mission and Purpose</h3><p> </p><h3>,en,785,EuroPolis
<h3>Mission and Purpose</h3><p>The platf,en,764,Partido da Terra (Party of the Earth / Party of the Land)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1086,Egyptian Ministry of Economic Development (MoED)
<h3>Mission and Purpose</h3><p> </p><h3>,en,798,Regional District of Okanagan-Similkameen
<h3>Mission and Purpose</h3><p>European ,en,800,European Alternatives
<p>The Socialist Party has governed the ,en,1133,City of Rosario (Argentina)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1142,City of Moscow (Idaho)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1146,Vorarlberg State Government
<h3>Mission and Purpose</h3><p> </p><h3>,en,1144,Queensland State Government
<h3>Mission and Purpose</h3><p> </p><h3>,en,1145,City of Toronto
<p><strong>Insights offers a pioneering ,en,813,Insights: Powering Collective Thinking
<h3>Mission and Purpose</h3><p> </p><h3>,en,1018,Government of Brazil
<h3>Mission and Purpose</h3><p> </p><h3>,en,1113,Boston's Metropolitan Area Planning Council
<h3>Mission and Purpose</h3><p> </p><h3>,en,1114,Asian Community Development Corporation
<h3>Mission and Purpose</h3><p> </p><h3>,en,1111,Institut für Sozialmedizin der Universität zu Lübeck
<h3>Mission and Purpose</h3><p> </p><h3>,en,1012,City of Solingen
<h3>Mission and Purpose</h3><p> </p><h3>,en,1013,Zebralog
<h3>Mission and Purpose</h3><p> </p><h3>,en,1135,Jeffrey Abelson
<h3>Mission and Purpose</h3><p> </p><h3>,en,1076,United Nations
<h3>Mission and Purpose</h3><p> </p><h3>,en,1080,German Federal Ministry for Economic Cooperation and Development (BMZ) 
<h3>Mission and Purpose</h3><p> </p><h3>,en,1081,Prime Minister’s Office – Regional Administration and Local Government (PMO-RALG) of Tanzania
,en,1158,Institute for Democratic Participatory Governance (IDPG)
<p>Open Ministry is an online tool for c,en,1157,The Open Ministry (Avoin ministeriö)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1078,University of the Andes
<h3>Mission and Purpose</h3><p> </p><h3>,en,1074,City of Dresden
<h3>Mission and Purpose</h3><p>The Young,en,1609,The Young Foundation
<h3>Mission and Purpose</h3><p> </p><h3>,en,1160,Colorado's Future Institute on the Common Good at Regis University
<h3>Mission and Purpose</h3><p> </p><h3>,en,1149,Ministry of Abuja
<h3>Mission and Purpose</h3><p> </p><h3>,en,1151,Office of the President of Mongolia
<h3>Mission and Purpose</h3><p> </p><h3>,en,1106,European Commission
<h3>Mission and Purpose</h3><p> </p><h3>,en,1108,"Australian Department of Education, Employment and Workplace Relations"
<h3>Mission and Purpose</h3><p> </p><h3>,en,1095,Dutch Ministry of the Interior and Kingdom Relations
<h3>Mission and Purpose</h3><p> </p><h3>,en,1162,eThekwini Municipality
<h3>Mission and Purpose</h3><p> </p><h3>,en,1164,Kentucky Water Resources Research Institute
,en,1248,Ministry of Health (Brazil)
<p><em>The original version of this case,en,945,Song of a Citizen
<h3>Mission and Purpose</h3><p> </p><h3>,en,1088,City of Burnsville
<h3>Mission and Purpose</h3><p><strong>P,en,1070,PBPartners
<h3>Mission and Purpose</h3><p><strong>W,en,1617,Shared Future CIC
,en,1249,Ontario Provincial Government
<h3>Mission and Purpose</h3><p> </p><h3>,en,1082,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ) GmbH
<h3>Mission and Purpose</h3><p> </p><h3>,en,1084,Ethiopian Ministry of Works and Urban Development (MWUD)
<h3>Mission and Purpose</h3><p>The assoc,en,1046,Regards Citoyens
<h3>Mission and Purpose</h3><p> </p><h3>,en,1047,Center for Substance Abuse Prevention (CSAP)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1048,US Department of Health and Human Services
<h3>Mission and Purpose</h3><p> </p><h3>,en,1049,City of Hampton
<h3>Mission and Purpose</h3><p> </p><h3>,en,1050,US Department of Health and Human Services Alternatives Inc.
<h3>Mission and Purpose</h3><p> </p><h3>,en,1090,City of Portland
<h3>Mission and Purpose</h3><p> </p><h3>,en,1053,Ministry of the Environment (Germany)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1054,Senate Department for Urban Development Berlin
<h3>Mission and Purpose</h3><p> </p><h3>,en,1131,"Central Information Commission, Government of India"
<h3>Mission and Purpose</h3><p>Young Adv,en,1618,Young Advisors Charity
<h3>Mission and Purpose</h3><p>The Europ,en,1362,"Science in Society programme, European Commission"
<h3>Mission and Purpose</h3><p> </p><h3>,en,1127,Participant
<h3>Mission and Purpose</h3><p> </p><h3>,en,1126,Dialogue Learning Center
<h3>Mission and Purpose</h3><p>The Ohio ,en,1129,Ohio Latino Affairs Commission
<h3>Mission and Purpose</h3><p> </p><h3>,en,1182,Open Society Institute - Sofia 
<h3>Mission and Purpose</h3><p> </p><h3>,en,1171,Latvian Ministry of Regional Development
<h3>Mission and Purpose</h3><p> </p><h3>,en,1173,Terra-1530
<h3>Mission and Purpose</h3><p> </p><h3>,en,1252,OpenPolis
<h3>Mission and Purpose</h3><p> </p><h3>,en,1180,Citizens For Europe
,en,1234,"Anti-Corruption and Civil Rights Commission, Republic of Korea"
,en,1235,"Ministry of Public Administration and Security, Republic of Korea"
<p><strong>Global Voices</strong> is the,en,1237,Global Voices
<h3>Mission and Purpose</h3><p>To enable,en,1241,Community Capacity Builders
"<p>The <a href=""http://www.e-trikala.gr""",en,1239,eTrikala
<p> <u><strong>Democratic participation ,en,1254,Institut du Nouveau Monde
,en,1260,Simon Fraser University Centre for Dialogue
,en,1262,Consorzio CTTS
,en,1264,City of La Plata
,en,1266,Consorcio Fernando de los Ríos
,en,1267,"Regional Ministry of Innovation, Science and Enterprise of Andalusia"
,en,1269,State Chancellery of the Republic of Estonia
,en,1271,"Society for Participatory Research in Asia (PRIA), New Delhi, India"
<h3>Mission and Purpose</h3> Conservatio,en,1710,Conservation of Flora and Fauna (COFF)
<h3>Mission and Purpose</h3><p> </p><h3>,en,1855,ÖGUT - Austrian Society for Environment and Technology
<h3>Mission </h3><p>Partido de la Red (N,en,1597,Partido de la Red (Net Party)
"<p class=""MsoNormal""> </p><p> </p><p> </",en,1585,The Bureau d’audiences publiques sur l’environnement – (The Office of Environmental Public Hearings)
"<p class=""MsoNormal"">Created in 2002, th",en,1586,The Office de consultation publique de Montréal
"<p>The <a href=""http://westminster.ac.uk",en,1485,Centre for the Study of Democracy
<h3>Mission and Purpose</h3><p> </p><h3>,en,1352,Kuna ACT Board of Directors
<h3>Mission and Purpose</h3><p> </p><h3>,en,1355,Regional Council of Veneto
<h3> </h3><p><strong>Democracy In Practi,en,4153,Democracy In Practice
<p> </p><h2>Mission and purpose</h2><p>I,en,2017,Airesis - Tecnologie Democratiche
<p>Mission and Purpose</p><p>Our work to,en,2617,Participatory Politics Foundation
<p>The Scottish Health Council was estab,en,2384,Scottish Health Council
<p>The following is a suggested structur,en,4246,City of Alagoinhas
<p>The following is a suggested structur,en,4238,Sopot Development Initiative (SIR- Sopocka Inicjatywa Rozwojowa)
<p>The following is a suggested structur,en,4235,Associative Action (l'action associative)
"<p><br /><a href=""http://www.everydaydev",en,4134,Daily Bread Devotional
<p> </p><h3>Mission and Purpose</h3><p>P,en,4138,PositionDial
<p><strong>Our vision</strong> is a worl,en,4148,The Sociocracy Consulting Group
<h3>Mission and Purpose</h3><p>To provid,en,4151,Sociocracy.info
"<p>I launched <strong><a href=""http://ww",en,4152,My City Market
<p>History</p><p> </p><p>MoveOn was foun,en,4173,MoveOn
