communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
or Deliberation,Policy Recommendations,Germany,Voting,,both,Yes,12,Budgeting,Consultation (i.e. to advise decision makers),12,,Yes,en,Open to all,2010-01-08T03:28:47,Yes,Municipal Participatory Budgeting,facilitators,2005-10-27T17:00:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Individual,"Regional Government (e.g. State, Provincial, Territorial)",2016-05-26T19:41:06,preferential,City-State Parliament of Berlin,
Dialogue,Public Report,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,13,Environment,Raise public awareness,13,,Yes,en,Open to all with targeted recruitment,2010-01-19T01:11:56,Yes,Comprehensive Municipal Planning,Mostly volunteers w/ some paid,1999-03-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,Individual,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-07-09T22:21:37,none,Greater Portsmouth Education Partnership Council (GPEPC),
Express opinions/preferences only,Public Hearings/Meetings,India,Opinion Survey,2002-11-21T00:00:00,facetoface,Yes,14,Environment,Raise public awareness,14,,No,en,Open to all,2010-01-27T21:53:28,Yes,Health-based Planning and Development,,2002-08-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,Non-Governmental Organization (Non-profit),Community Based Organization,Non-Governmental Organization (Non-profit),2016-07-08T18:03:22,none,Society for Participatory Research in Asia (PRIA),646
Discussion,Public Hearings/Meetings,Brazil,Voting,,facetoface,Yes,15,Health,Co-governance (i.e. to share decision making with public authorities),15,,Yes,en,Election,2010-01-27T22:56:02,Yes,Health Care Policy and Service,,1992-01-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,National Government,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-07-09T17:01:31,majority,,1018
Dialogue,Public Hearings/Meetings,Bangladesh,Getting sense of room/group (i.e. no formal voting),,facetoface,No,16,Health,Consultation (i.e. to advise decision makers),16,,No,en,Election,2010-01-27T23:12:37,Yes,Community Capacity-building,,1998-01-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,National Government,Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-07-09T17:04:11,none,Nijera Kori,
Discussion,Public Report,Canada,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,17,Health,Consultation (i.e. to advise decision makers),17,,No,en,Open to all,2010-01-27T23:35:25,Yes,aboriginal issues,,,Appointed Public Servants (e.g. bureaucrats),Racial/Ethnic Group(s),Lay Public,,National Government,National Government,National Government,2016-05-27T21:38:30,none,,
Discussion,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),2006-09-01T00:00:00,facetoface,Yes,18,Environment,Consultation (i.e. to advise decision makers),18,,No,en,Appointment,2010-02-23T22:30:06,Yes,Uranium Pollution,,1993-09-01T00:00:00,Elected Public Official,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",15,National Government,National Government,Non-Governmental Organization (Non-profit),2016-07-07T19:09:52,none,,584
Express opinions/preferences only,Public Report,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,No,19,Environment,Consultation (i.e. to advise decision makers),19,,Yes,en,Appointment,2010-02-23T22:51:50,Yes,Motor Vehicle Pollution,,1980-01-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",21,For Profit Business,,National Government,2016-07-08T15:13:36,none,,
Discussion,Public Report,Denmark,Other,,facetoface,Yes,20,Science &amp; Technology,Consultation (i.e. to advise decision makers),20,,Yes,en,Appointment,2010-02-24T00:10:47,Yes,Technology Regulation,,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,National Government,National Government,National Government,2016-07-07T18:49:49,none,,272
Discussion,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,No,21,Environment,Consultation (i.e. to advise decision makers),21,,Yes,en,Other,2010-02-24T00:27:29,Yes,Sustainable Development,,1993-09-30T17:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,64,National Government,National Government,National Government,2016-07-08T15:30:46,none,,581
Listen/watch as spectator,Public Report,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,22,Education &amp; Schools,Raise public awareness,22,,Yes,en,Open to all with targeted recruitment,2010-02-24T00:53:43,Yes,Public Policy Deliberation,,1990-01-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Regional Government (e.g. State, Provincial, Territorial)",Non-Governmental Organization (Non-profit),Community Based Organization,2016-07-08T17:43:16,none,University of Louisville,582
No interaction among participants,Public Hearings/Meetings,Indonesia,Voting,2006-01-29T16:00:00,facetoface,No,23,Economic Development,Make public decisions (i.e. exert direct authority),23,,No,en,Open to all with targeted recruitment,2010-03-02T23:42:01,Yes,public policy forum,,2005-08-31T17:00:00,General Public,Women,Lay Public,,Other,Individual,Individual,2016-05-15T15:56:16,none,,
Negotiate &amp; Bargain,Policy Recommendations,France,Voting,2009-06-29T21:01:00,facetoface,Yes,24,Budgeting,"Develop individual capacities (e.g. skills, learning)",24,,No,en,Open to all with targeted recruitment,2010-03-04T23:47:42,Yes,Youth Participatory Budgeting,Regional staff,2005-08-31T21:01:00,Elected Public Official,Students,Lay Public,30000,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",Academic Institution,2016-07-07T18:26:47,preferential,,578
Discussion,"Traditional Media (i.e. television, radio, newspapers)",Argentina,Voting,,facetoface,Yes,25,Budgeting,Co-governance (i.e. to share decision making with public authorities),25,,Yes,es,Open to all,2010-03-06T03:45:19,Yes,urban development,Public officials,2002-05-01T00:00:00,General Public,General Public,Lay Public,61000,"Local Government (e.g. Village, Town, City)",Community Based Organization,"Local Government (e.g. Village, Town, City)",2016-07-07T18:15:14,preferential,,
Dialogue,Public Hearings/Meetings,United Kingdom,Voting,2010-03-31T00:00:00,facetoface,Yes,26,Budgeting,Co-governance (i.e. to share decision making with public authorities),26,8,No,en,Open to all,2010-03-09T19:48:44,Yes,Municipal Participatory Budgeting,Local Authority staff,2009-02-01T16:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",815,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-07-07T18:15:42,preferential,Primary Care Trust,272
or Deliberation,Policy Recommendations,Australia,Voting,2009-02-09T16:00:00,both,Yes,27,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),27,4,No,en,Random Selection,2010-03-17T12:18:09,Yes,Deliberative Democracy Showcase,Mostly volunteers w/ some paid,2009-02-06T14:30:00,Elected Public Official,General Public,Lay Public,150,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),National Government,2016-05-23T15:55:47,preferential,,216
or Deliberation,Public Hearings/Meetings,Canada,Opinion Survey,2010-05-31T17:00:00,facetoface,Yes,28,Health,Consultation (i.e. to advise decision makers),28,5,No,en,Other,2010-04-10T00:40:08,Yes,Health Technology Evaluation,,2008-11-30T16:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,14,"Regional Government (e.g. State, Provincial, Territorial)",For Profit Business,"Regional Government (e.g. State, Provincial, Territorial)",2016-07-06T22:21:32,none,,
Express opinions/preferences only,Policy Recommendations,United Kingdom,Voting,,facetoface,No,29,Budgeting,Co-governance (i.e. to share decision making with public authorities),29,,No,en,Open to all with targeted recruitment,2010-04-16T17:18:35,Yes,Municipal Participatory Budgeting,Local Authority staff,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-05-25T22:55:49,preferential,Urban Vision,
Discussion,Public Hearings/Meetings,Germany,Voting,,facetoface,No,30,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",,30,,Yes,en,Open to all,2010-05-14T15:40:18,Yes,Electoral reform,,,Elected Public Official,General Public,Lay Public,,,,National Government,2016-07-05T22:02:08,none,,
Discussion,Public Report,United States,Other,,facetoface,Yes,31,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Other,31,,Yes,en,Random Selection,2010-05-22T00:04:59,Yes,Citizens Initiative Review,administrators,,General Public,General Public,Lay Public,24,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-05-27T21:42:52,none,,252
or Deliberation,Public Hearings/Meetings,United States,Opinion Survey,2007-01-20T16:00:00,facetoface,Yes,32,Economic Development,Raise public awareness,32,,No,en,Open to all,2010-05-22T00:12:29,Yes,Disaster Recovery,Trained Facilitators and Elected Officials,2006-04-20T17:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,For Profit Business,Non-Governmental Organization (Non-profit),Community Based Organization,2016-05-21T15:26:03,none,Federal Emergency Management Agency,199
or Deliberation,Policy Recommendations,United States,Voting,2010-03-22T17:00:00,facetoface,Yes,33,Law Enforcement,Consultation (i.e. to advise decision makers),33,5,No,en,Random Selection,2010-05-22T01:11:33,Yes,At-risk Youth Protection,City staff,2010-02-22T17:00:00,General Public,Youth,Lay Public,330,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-07-05T21:59:26,preferential,,
Discussion,"Traditional Media (i.e. television, radio, newspapers)",United States,Getting sense of room/group (i.e. no formal voting),,both,Yes,34,Community Development,Community building (e.g. social capital),34,,Yes,en,Open to all,2010-05-30T00:48:14,Yes,Media Relations,Educators,1994-05-21T17:00:00,Media,General Public,Lay Public,,Academic Institution,Non-Governmental Organization (Non-profit),Other,2016-07-05T21:41:57,none,,253
Dialogue,Policy Recommendations,India,Opinion Survey,2001-05-13T17:00:00,facetoface,Yes,35,Community Development,Make public decisions (i.e. exert direct authority),35,,Yes,en,Election,2010-05-31T09:15:41,Yes,Government Decentralization,Government Officials,1996-08-17T09:00:00,Elected Public Official,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-05-19T20:53:16,none,,
or Deliberation,Public Report,United States,Opinion Survey,2007-08-11T17:00:00,both,Yes,36,Health,Consultation (i.e. to advise decision makers),36,1,No,en,Random Selection,2010-06-01T03:42:33,Yes,Health Care Reform,Trained Facilitators,2007-08-11T09:00:00,General Public,General Public,Elected Public Official,3500,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Individual,2016-06-10T21:55:13,none,Governor Arnold Schwarzenegger,199
Dialogue,"New Media (i.e. internet, texting, etc)",United Kingdom,Opinion Survey,2010-05-06T16:00:00,both,Yes,37,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,37,,No,en,Random Selection,2010-06-01T11:41:38,Yes,Electoral System Reform,Organizers,2009-09-15T16:00:00,General Public,General Public,Lay Public,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Academic Institution,For Profit Business,2016-06-27T18:33:19,preferential,YouGov,318
Formal Testimony,Public Hearings/Meetings,Australia,Opinion Survey,,facetoface,Yes,38,"Planning (e.g. Urban planning, Transportation, etc.)",Other,38,4,No,en,Random Selection,2010-06-02T01:28:11,Yes,Sustainable Forest Management,facilitators,,Elected Public Official,General Public,Lay Public,12,National Government,Academic Institution,Academic Institution,2016-06-10T18:16:08,consensus,,
Express opinions/preferences only,Public Hearings/Meetings,United States,Getting sense of room/group (i.e. no formal voting),2009-11-14T16:00:00,facetoface,Yes,39,Other,"Develop individual capacities (e.g. skills, learning)",39,3,No,en,Random Selection,2010-06-02T11:14:50,Yes,Deliberative Polling Showcase,Mostly volunteers w/ some paid,2009-11-12T16:00:00,Media,General Public,Lay Public,317,Community Based Organization,Community Based Organization,Government-Owned Corporation,2016-06-09T20:48:28,none,Stanford Center for Deliberative Polling,254
or Deliberation,Other,Greece,Opinion Survey,2006-06-04T21:00:00,facetoface,Yes,40,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Make public decisions (i.e. exert direct authority),40,1,No,en,Random Selection,2010-06-02T12:55:59,Yes,Mayor Candidate Selection,Mediator,2006-06-04T09:00:00,Elected Public Official,General Public,Lay Public,160,,Academic Institution,Academic Institution,2016-06-09T21:03:30,none,Stanford Center for Deliberative Democracy,258
Dialogue,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,both,Yes,41,Budgeting,Raise public awareness,41,,Yes,en,Open to all,2010-06-03T10:12:49,Yes,Government Transparency and Public Participation in all Issue Areas,All governmental agencies,,General Public,General Public,Lay Public,,National Government,National Government,National Government,2016-06-02T22:27:23,none,,
Formal Testimony,"Traditional Media (i.e. television, radio, newspapers)",Australia,Getting sense of room/group (i.e. no formal voting),,both,Yes,42,Environment,Consultation (i.e. to advise decision makers),42,,No,en,Random Selection,2010-06-03T10:16:38,Yes,Comprehensive Long-term Municipal Development Plan,Public officials,,Elected Public Official,General Public,Lay Public,,For Profit Business,Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-06-09T20:12:31,consensus,Search for Common Ground,
Discussion,Policy Recommendations,United States,Voting,2010-04-10T17:00:00,facetoface,Yes,43,Budgeting,Consultation (i.e. to advise decision makers),43,,Yes,en,Open to all,2010-06-03T12:34:45,Yes,Municipal Participatory Budgeting,Community leaders and representatives,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-20T14:39:51,preferential,Alderman Joe Moore,4377
Negotiate &amp; Bargain,Policy Recommendations,Brazil,Voting,,facetoface,Yes,44,Budgeting,Co-governance (i.e. to share decision making with public authorities),44,,Yes,en,Open to all,2009-11-28T22:03:12,Yes,Municipal Participatory Budgeting,Public officials,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-27T18:19:25,majority,GALPLAN,
Dialogue,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,45,Budgeting,Community building (e.g. social capital),45,,Yes,en,Open to all,2010-06-03T17:02:02,Yes,Community Capacity-building,citizens,1987-10-26T17:00:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Community Based Organization,"Local Government (e.g. Village, Town, City)",2016-06-09T20:33:29,none,,
Dialogue,"New Media (i.e. internet, texting, etc)",Canada,Other,2007-05-15T16:00:00,facetoface,Yes,46,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)","Develop individual capacities (e.g. skills, learning)",46,,No,en,Random Selection,2010-06-04T08:09:16,Yes,Electoral System Reform,Educators,2006-03-24T17:00:00,General Public,General Public,Lay Public,103,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",Individual,2016-06-06T22:03:40,consensus,Jonathan Rose,1249
Listen/watch as spectator,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,online,No,47,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)","Develop individual capacities (e.g. skills, learning)",47,,Yes,en,Open to all,2010-06-04T10:23:35,Yes,Voting Guide,,1995-10-09T17:00:00,General Public,General Public,Lay Public,,Community Based Organization,Non-Governmental Organization (Non-profit),"Regional Government (e.g. State, Provincial, Territorial)",2016-06-06T22:19:52,none,,4376
or Deliberation,Public Hearings/Meetings,Brazil,Voting,,facetoface,No,48,"Planning (e.g. Urban planning, Transportation, etc.)",,48,,No,en,Open to all,2010-06-04T14:13:25,Yes,public policy forum,,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-06-06T22:07:41,preferential,,
Express opinions/preferences only,Policy Recommendations,Belgium,Opinion Survey,2009-05-30T17:00:00,facetoface,Yes,49,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Other,49,,No,en,Open to all with targeted recruitment,2010-06-04T14:44:06,Yes,Deliberative Democracy Showcase,,2009-05-28T17:00:00,Elected Public Official,General Public,Lay Public,,International Organization,Non-Governmental Organization (Non-profit),International Organization,2016-06-06T21:39:58,none,,785
or Deliberation,Public Hearings/Meetings,United States,Voting,,facetoface,Yes,50,Education &amp; Schools,Co-governance (i.e. to share decision making with public authorities),50,,Yes,en,Open to all,2010-06-04T18:41:34,Yes,School governance,Student employees,,Other,Students,Lay Public,,Academic Institution,Academic Institution,Academic Institution,2016-06-05T21:18:59,none,,
Discussion,Public Hearings/Meetings,Canada,Getting sense of room/group (i.e. no formal voting),2005-08-19T17:00:00,facetoface,Yes,51,Arts &amp; Culture,Community building (e.g. social capital),51,5,Yes,en,Open to all with targeted recruitment,2010-06-04T18:53:29,Yes,Inuit Language,Inuit elders,2005-08-15T17:00:00,Other,Youth,Lay Public,20,"Local Government (e.g. Village, Town, City)",Community Based Organization,Community Based Organization,2016-06-05T20:41:27,none,,
or Deliberation,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,52,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,52,,Yes,en,Random Selection,2010-06-04T20:36:28,Yes,civil infrastructure,,,General Public,General Public,Lay Public,10,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",National Government,2016-05-12T00:08:53,none,,
Discussion,Policy Recommendations,United States,Voting,,facetoface,Yes,53,Environment,Co-governance (i.e. to share decision making with public authorities),53,,Yes,en,Open to all with targeted recruitment,2010-06-04T22:31:57,Yes,Watershed Management,Paid Staff,1994-07-01T09:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Lay Public,,National Government,"Local Government (e.g. Village, Town, City)",National Government,2016-05-19T20:00:52,preferential,,
or Deliberation,Public Hearings/Meetings,Canada,Getting sense of room/group (i.e. no formal voting),2009-03-28T16:00:00,both,Yes,54,Budgeting,Consultation (i.e. to advise decision makers),54,6,No,en,Random Selection,2010-07-23T08:56:52,Yes,Municipal Participatory Budgeting,Graduate Students,2009-02-22T09:00:00,General Public,General Public,Lay Public,60,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-06-05T15:41:09,consensus,,
Discussion,Policy Recommendations,United Kingdom,Voting,,facetoface,Yes,55,Health,Consultation (i.e. to advise decision makers),55,,Yes,en,Election,2010-08-09T07:44:13,Yes,Health Care Policy and Service,Professional,2002-11-21T16:00:00,Elected Public Official,General Public,Lay Public,30,National Government,National Government,National Government,2016-06-04T16:42:11,majority,,
Formal Testimony,Policy Recommendations,United States,Voting,2010-06-21T15:00:00,facetoface,No,56,Education &amp; Schools,Raise public awareness,56,,No,en,Open to all,2010-08-22T21:57:53,Yes,National Budget Allocation,,2010-04-21T09:00:00,Elected Public Official,Students,Lay Public,,,Academic Institution,Other,2016-05-23T22:39:10,majority,,
Express opinions/preferences only,Policy Recommendations,France,,,facetoface,No,57,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",,57,,No,en,Open to all,2010-08-25T23:50:37,Yes,public policy forum,,,Elected Public Official,General Public,Lay Public,,National Government,,"Regional Government (e.g. State, Provincial, Territorial)",2016-05-10T20:45:58,none,,
Dialogue,,United States,,2010-08-03T17:00:00,both,No,58,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",,58,,No,en,,2010-08-28T01:17:24,Yes,restructuring civil society,,2010-07-29T17:00:00,General Public,General Public,,,Academic Institution,,Non-Governmental Organization (Non-profit),2016-05-10T20:40:31,none,,
Express opinions/preferences only,Public Hearings/Meetings,Tunisia,Voting,,facetoface,Yes,4261,Budgeting,"Develop individual capacities (e.g. skills, learning)",59,,Yes,en,Open to all,2015-07-27T15:56:19,Yes,Municipal Buget,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,30,Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-02-12T16:48:49,none,,4235
Express opinions/preferences only,"New Media (i.e. internet, texting, etc)",Brazil,Voting,,facetoface,Yes,60,Gender &amp; Racial Equality,Co-governance (i.e. to share decision making with public authorities),60,,Yes,en,Open to all,2010-09-29T22:35:20,Yes,Public Policy Formulation,,,Elected Public Official,General Public,Lay Public,,National Government,National Government,Community Based Organization,2016-05-22T15:59:44,consensus,,1018
Dialogue,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),,both,Yes,61,Education &amp; Schools,Co-governance (i.e. to share decision making with public authorities),61,,Yes,en,Open to all with targeted recruitment,2010-11-30T09:52:48,Yes,restructuring civil society,Elected volunteers,,Other,Students,Lay Public,,Academic Institution,Academic Institution,Academic Institution,2016-06-03T22:42:34,none,,
